Cadastro Nacional de Unidades de Conservação (CNUC),Bioma,Categoria da UC,Unidade de Conservação (UC),Número da Estação Amostral,Nome da Estação Amostral,Esforço de amostragem (metros percorridos por dia),data da amostragem (dd/mm/aaaa),Ano,Estação do ano,Horário de início  (hh:mm),Horário de término (hh:mm),"Condição climática (ensolarado, nublado, chuvoso)",Nome dos coletores de dados,Número do animal no guia,Classe,Ordem,Família,Gênero,Espécie identificada em campo pelos coletores,"Clasificação taxonômica identificada em campo pelos coletores (E - espécie, G - gênero, F - família, O - ordem)",Espécies validadas pelo ICMBio,Clasificação taxonômica validada pelo ICMBio,Horário do avistamento,N° de animais,Contagem Total ou Parcial?,Distância perpendicular  (m) do animal em relação a trilha,Trecho do transecto onde o animal foi avistado,Teve problema durante a amostragem?,Observações
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,4650,22/10/2014,2014,Seca,06:30:00,11:10:00,nublado,Carlos e Milton,56,Aves,Galliformes,Odontophoridae,Odontophorus,Odontophorus gujanensis,E,Odontophorus gujanensis,E,06:34:00,2,total,0,100,Não,Trilha com 4650 m
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,22/10/2014,2014,Seca,06:30:00,11:10:00,nublado,Carlos e Milton,277,Mammalia,Primates,Pitheciidae,Callicebus,Callicebus sp.,G,Callicebus vieirai,E,06:48:00,2,total,"13,36",400,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,22/10/2014,2014,Seca,06:30:00,11:10:00,nublado,Carlos e Milton,56,Aves,Galliformes,Odontophoridae,Odontophorus,Odontophorus gujanensis,E,Odontophorus gujanensis,E,07:05:00,1,total,"3,75",450,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,22/10/2014,2014,Seca,06:30:00,11:10:00,nublado,Carlos e Milton,277,Mammalia,Primates,Pitheciidae,Callicebus,Callicebus sp.,G,Callicebus vieirai,E,07:25:00,4,total,"13,52",800,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,22/10/2014,2014,Seca,06:30:00,11:10:00,nublado,Carlos e Milton,139,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta sp.,G,Dasyprocta croconota,E,08:17:00,1,total,"7,75",1900,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,22/10/2014,2014,Seca,06:30:00,11:10:00,nublado,Carlos e Milton,139,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta sp.,G,Dasyprocta croconota,E,09:36:00,1,total,"1,7",3000,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,22/10/2014,2014,Seca,06:30:00,11:10:00,nublado,Carlos e Milton,156,Mammalia,Rodentia,Sciuridae,Guerlinguetus,Guerlinguetus aestuans,E,Guerlinguetus aestuans,E,09:43:00,1,total,"8,78",3100,Não,Guerlinguetus cf. brasiliensis
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,22/10/2014,2014,Seca,06:30:00,11:10:00,nublado,Carlos e Milton,3,Aves,Galliformes,Cracidae,Crax,Crax fasciolata,E,Crax fasciolata,E,09:50:00,2,total,0,3150,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,22/10/2014,2014,Seca,06:30:00,11:10:00,nublado,Carlos e Milton,17,Aves,Galliformes,Cracidae,Penelope,Penelope pileata,E,Penelope sp.,G,10:13:00,1,total,"2,5",3850,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,22/10/2014,2014,Seca,06:30:00,11:10:00,nublado,Carlos e Milton,17,Aves,Galliformes,Cracidae,Penelope,Penelope pileata,E,Penelope sp.,G,10:36:00,1,total,"7,82",4150,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,4650,23/10/2014,2014,Seca,06:34:00,11:12:00,nublado,José Ronaldo e Miltom,139,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta sp.,G,Dasyprocta croconota,E,06:52:00,1,total,"13,71",400,Não,Avistamento pelo som de fuga
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,23/10/2014,2014,Seca,06:34:00,11:12:00,nublado,José Ronaldo e Miltom,44,Aves,Tinamiformes,Tinamidae,Tinamus,Tinamus tao,E,Tinamus sp.,G,07:24:00,1,total,0,700,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,23/10/2014,2014,Seca,06:34:00,11:12:00,nublado,José Ronaldo e Miltom,215,Mammalia,Primates,Cebidae,Saimiri,Saimiri collinsi,E,Saimiri collinsi,E,07:54:00,6,total,"5,57",1100,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,23/10/2014,2014,Seca,06:34:00,11:12:00,",",José Ronaldo e Miltom,224,Mammalia,Primates,Cebidae,Sapajus,Sapajus apella,E,Sapajus apella,E,07:55:00,5,total,10,1100,Não,1 filhote
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,23/10/2014,2014,Seca,06:34:00,11:12:00,nublado,José Ronaldo e Miltom,244,Mammalia,Primates,Atelidae,Ateles,Ateles marginatus,E,Ateles marginatus,E,08:10:00,12,total,"3,29",1500,Não,3 filhotes
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,23/10/2014,2014,Seca,06:34:00,11:12:00,nublado,José Ronaldo e Miltom,111,Mammalia,Perissodactyla,Tapiridae,Tapirus,Tapirus terrestris,E,Tapirus terrestris,E,08:23:00,1,total,0,1500,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,23/10/2014,2014,Seca,06:34:00,11:12:00,nublado,José Ronaldo e Miltom,111,Mammalia,Perissodactyla,Tapiridae,Tapirus,Tapirus terrestris,E,Tapirus terrestris,E,08:24:00,1,total,"15,67",1500,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,23/10/2014,2014,Seca,06:34:00,11:12:00,nublado,José Ronaldo e Miltom,6,Aves,Galliformes,Cracidae,Pauxi,Pauxi tuberosa,E,Pauxi tuberosa,E,08:38:00,2,total,0,1750,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,23/10/2014,2014,Seca,06:34:00,11:12:00,nublado,José Ronaldo e Miltom,277,Mammalia,Primates,Pitheciidae,Callicebus,Callicebus sp.,G,Callicebus vieirai,E,08:50:00,3,total,"10,1",2100,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,23/10/2014,2014,Seca,06:34:00,11:12:00,nublado,José Ronaldo e Miltom,48,Aves,Gruiformes,Psophiidae,Psophia,Psophia dextralis,E,Psophia dextralis,E,08:58:00,2,total,"10,36",2300,Não,NA
47,Amazônia,Estação Ecológica,Esec da Terra do Meio,1,Trilha da Fazenda,NA,23/10/2014,2014,Seca,06:34:00,11:12:00,nublado,José Ronaldo e Miltom,48,Aves,Gruiformes,Psophiidae,Psophia,Psophia dextralis,E,Psophia dextralis,E,08:59:00,5,total,"9,04",2400,Não,NA
