"","Binomial","Freq","2014","2015","2016","2017","2018","2019"
"Aburria_cumanensis_149","Aburria_cumanensis_149",2,1,NA,NA,NA,NA,NA
"Alouatta_belzebul_207","Alouatta_belzebul_207",4,1,NA,1,-0.0488962824050964,-0.340481035063224,NA
"Alouatta_puruensis_222","Alouatta_puruensis_222",2,1,NA,NA,NA,NA,0.288218019904016
"Ateles_chamek_118","Ateles_chamek_118",6,1,0.143535225099959,-0.0351957503111202,-0.0906107078284066,-0.221848749616356,0.17801718009172
"Ateles_chamek_149","Ateles_chamek_149",2,1,NA,NA,NA,NA,0.0517954455579923
"Ateles_chamek_188","Ateles_chamek_188",3,1,NA,NA,NA,0.113943352306837,-0.511883360978874
"Ateles_chamek_281","Ateles_chamek_281",4,1,NA,NA,0.16664970282284,-0.0487728207020266,-0.162080544612867
"Ateles_paniscus_213","Ateles_paniscus_213",6,1,0.0883246254874945,-0.255272505103306,-0.0222763947111523,0.0661296784170341,-0.0689963190686372
"Brachyteles_arachnoides_152","Brachyteles_arachnoides_152",4,1,0.0783929875520511,-1,0,NA,NA
"Callicebus_brunneus_188","Callicebus_brunneus_188",3,1,NA,NA,NA,-0.0663259253620377,0.0791812460476248
"Callicebus_cupreus_222","Callicebus_cupreus_222",2,1,NA,NA,NA,NA,0.139931100831133
"Callicebus_moloch_258","Callicebus_moloch_258",4,1,NA,NA,-0.552841968657781,0.920818753952375,-0.717993241649449
"Callicebus_vieirai_47","Callicebus_vieirai_47",4,1,-0.133330547016359,-0.133330547016359,0.199075165976371,-0.0659529803138696,NA
"Callithrix_penicillata_148","Callithrix_penicillata_148",4,1,-0.0257935171106995,-0.0257935171106994,0.176525770829699,0,NA
"Cebus_olivaceus_189","Cebus_olivaceus_189",3,1,NA,NA,NA,0.0555173278498313,0.778151250383644
"Cebus_olivaceus_60","Cebus_olivaceus_60",3,1,NA,NA,NA,0.734685556602553,-0.0746336182969042
"Chiropotes_chiropotes_189","Chiropotes_chiropotes_189",3,1,NA,NA,NA,0.416963245985468,0.426278831879818
"Chiropotes_satanas_207","Chiropotes_satanas_207",4,1,NA,NA,NA,0,NA
"Crax_alector_213","Crax_alector_213",6,1,0.357703900713755,-0.371067862271736,-0.154901959985743,0.115134833114256,-0.234933930070144
